rank,flat_element_index,displacement_angstrom,dft_h_eV,sr_fixed_lr_h_eV,full_h_eV,dft_derivative_eV_per_A,sr_derivative_eV_per_A,full_derivative_eV_per_A
8,143458,-0.0175,0.6006357440140899,0.6021574892531246,0.6079539583236796,0.05900198708883408,0.07613035708841664,-0.03177489745510798
8,143458,-0.015,0.6007831213327873,0.602343378098749,0.6078293776203442,0.05890040231625449,0.0718028872803842,-0.07423448850005343
8,143458,-0.0125,0.6009302444336715,0.6025161736621549,0.6075699350465789,0.05879922220427147,0.0672952452498663,-0.1215303281949787
8,143458,-0.01,0.6010771195690093,0.6026802437852121,0.6072241498883114,0.05869992390579171,0.06148490536391193,-0.1619121113541837
8,143458,-0.0075,0.6012237444411462,0.602835218178464,0.6067633407840756,0.05860129551598448,0.0625502447274755,-0.2039247421479899
8,143458,-0.005,0.6013701273076935,0.6029863313606629,0.60624253773118,0.0585039103523215,0.07700007829244271,-0.2007778129229649
8,143458,-0.0025,0.6015162644091615,0.6031959874401642,0.6056314078852217,0.05840766974119305,0.08144678936812966,-0.2427048039898949
8,143458,0,0.6016621654703522,0.6034294666589507,0.6051774577398287,0.05831161648939087,0.06950694757738063,-0.3095613459693993
8,143458,0.0025,0.6018078248888021,0.6035440145891929,0.604102186867469,0.05821632774797791,0.05624408901643108,-0.3601107418652418
8,143458,0.005,0.6019532455458361,0.6036747769451025,0.6032619714611569,0.05812104817385233,0.05826507487380184,-0.343892492528127
8,143458,0.0075,0.6020984313223453,0.6038589478069801,0.60251929027678,0.05802665410305963,0.07186498422684906,-0.2423329249749244
8,143458,0.01,0.6022433791749726,0.6040414479558043,0.6020270687969302,0.05793239681209172,0.07455720435618218,-0.164005430137145
8,143458,0.0125,0.602388093091231,0.6042215272742701,0.6017117810151555,0.05783814125864239,0.07191878348864122,-0.08555449460663311
8,143458,0.015,0.6025325712870667,0.6044015270434023,0.6015814666536482,0.0577445090668931,0.0711852352259541,-0.03074299623727939
8,143458,0.0175,0.6026768156736291,0.6045781430866701,0.6015519169451549,0.05765184574163129,0.07092599122569254,0.007021739629941237
8,143458,0.02,0.6028208303205866,0.604754860455196,0.6015910802826532,0.05755991551798445,0.07086830751998718,0.02198667415279942
8,143458,0.0225,0.6029646174961212,0.6049332958245288,0.6016504148728197,0.05746893922099616,0.07083972172500808,0.01709345110523941
8,143458,0.025,0.6031081744592702,0.6051095596048568,0.6016644489323347,0.05737844750129392,0.07055670732600043,-0.005500600109170517
8,143458,0.0275,0.6032515099760417,0.6052847093958897,0.6015945577315318,0.05728856454506409,0.07007862812682024,-0.04690909805332941
8,143458,0.03,0.6033946188596145,0.6054598665302783,0.6014152593887602,0.0571992903523167,0.0694054841274024,-0.1071320427272251
9,1026027,-0.03,-0.1850316413721119,-0.180450304633072,-0.1782264297238603,0.4391372723915216,0.2070874134777172,0.1533270490516257
9,1026027,-0.0275,-0.18393416579292,-0.1799245356348148,-0.1778400921360252,0.4388329279009636,0.2137828919318762,0.155421880378375
9,1026027,-0.025,-0.1828375279647076,-0.1793817417181328,-0.1774485811261881,0.4384688113845484,0.2203323854213289,0.1582421434039593
9,1026027,-0.0225,-0.1817418655586979,-0.1788225058046574,-0.177049150015421,0.4380449228422876,0.2267358939460671,0.161787838128383
9,1026027,-0.02,-0.1806473616215636,-0.1782477747510874,-0.176638800286864,0.4375622135462898,0.2327844335868967,0.1660846739952895
9,1026027,-0.0175,-0.1795541082758328,-0.1776584772496139,-0.1762175672412291,0.43701750514278,0.2391784795875331,0.1713196780155819
9,1026027,-0.015,-0.1784623140922686,-0.1770524690552961,-0.1757832425142573,0.4364103928391572,0.2460347152071378,0.1768199842252862
9,1026027,-0.0125,-0.1773721177326727,-0.1764281387510492,-0.1753320856230495,0.4357377606955879,0.2529249883411389,0.1825873854216304
9,1026027,-0.01,-0.176283671928214,-0.1757877471359735,-0.1748697507648123,0.4350080156474831,0.2597332941806769,0.1880630532850951
9,1026027,-0.0075,-0.1751971331282866,-0.1751325234160714,-0.1743906199349685,0.4342145280293757,0.2644566392928382,0.1961034853394885
